location,lat,lon,mention_count,entertainment_score_mean,entertainment_score_present_share,entertainment_score_strong_share,entertainment_score_sum,bad_news_score_mean,bad_news_score_present_share,bad_news_score_strong_share,bad_news_score_sum,magnitude_score_mean,magnitude_score_present_share,magnitude_score_strong_share,magnitude_score_sum,good_news_score_mean,good_news_score_present_share,good_news_score_strong_share,good_news_score_sum,celebrity_score_mean,celebrity_score_present_share,celebrity_score_strong_share,celebrity_score_sum,power_elite_score_mean,power_elite_score_present_share,power_elite_score_strong_share,power_elite_score_sum,dominant_news_values,dominant_map_category
Hall,52.1107509,6.1034783,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,100,0.0,0.0,0.0,0,entertainment,entertainment
Halle,51.9905212,6.4284297,18,50.0,0.5,0.5,900,16.666666666666668,0.16666666666666666,0.16666666666666666,300,30.555555555555557,0.5555555555555556,0.05555555555555555,550,22.22222222222222,0.2222222222222222,0.2222222222222222,400,30.555555555555557,0.3333333333333333,0.2777777777777778,550,19.444444444444443,0.3333333333333333,0.05555555555555555,350,entertainment,entertainment
Halsteren,51.5230234,4.2729507,4,0.0,0.0,0.0,0,75.0,0.75,0.75,300,37.5,0.75,0.0,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,37.5,0.75,0.0,150,bad_news,bad_news
Hank,51.7360352,4.8986026,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Hapert,51.3709644,5.2518766,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Haps,51.6886486,5.8628619,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,50.0,1.0,0.0,50,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Harbrinkhoek,52.38464,6.72099,1,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,entertainment,entertainment
Hardenberg,52.5754706,6.6188242,18,5.555555555555555,0.05555555555555555,0.05555555555555555,100,44.44444444444444,0.4444444444444444,0.4444444444444444,800,22.22222222222222,0.4444444444444444,0.0,400,2.7777777777777777,0.05555555555555555,0.0,50,0.0,0.0,0.0,0,22.22222222222222,0.4444444444444444,0.0,400,bad_news,bad_news
Harderwijk,52.3490693,5.618933,24,4.166666666666667,0.041666666666666664,0.041666666666666664,100,29.166666666666668,0.2916666666666667,0.2916666666666667,700,29.166666666666668,0.4166666666666667,0.16666666666666666,700,4.166666666666667,0.041666666666666664,0.041666666666666664,100,0.0,0.0,0.0,0,10.416666666666666,0.20833333333333334,0.0,250,magnitude,magnitude
Haren,51.7996561,5.5835902,19,42.10526315789474,0.42105263157894735,0.42105263157894735,800,15.789473684210526,0.15789473684210525,0.15789473684210525,300,34.21052631578947,0.47368421052631576,0.21052631578947367,650,18.42105263157895,0.21052631578947367,0.15789473684210525,350,2.6315789473684212,0.05263157894736842,0.0,50,5.2631578947368425,0.10526315789473684,0.0,100,entertainment,entertainment
Harfsen,52.2075015,6.297922,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Harlingen,53.1752103,5.4141998,18,5.555555555555555,0.05555555555555555,0.05555555555555555,100,38.888888888888886,0.3888888888888889,0.3888888888888889,700,41.666666666666664,0.6111111111111112,0.2222222222222222,750,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11.11111111111111,0.2222222222222222,0.0,200,magnitude,magnitude
Harmelen,52.0914501,4.9639631,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,50.0,0.5,0.5,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Harreveld,51.9785595,6.5161187,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Harskamp,52.1316634,5.75085,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hasselt,52.5914949,6.0956717,19,47.36842105263158,0.47368421052631576,0.47368421052631576,900,10.526315789473685,0.10526315789473684,0.10526315789473684,200,13.157894736842104,0.2631578947368421,0.0,250,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13.157894736842104,0.2631578947368421,0.0,250,entertainment,entertainment
Hattem,52.4773176,6.0560015,9,11.11111111111111,0.1111111111111111,0.1111111111111111,100,0.0,0.0,0.0,0,22.22222222222222,0.2222222222222222,0.2222222222222222,200,22.22222222222222,0.2222222222222222,0.2222222222222222,200,0.0,0.0,0.0,0,0.0,0.0,0.0,0,magnitude,magnitude
Hattemerbroek,52.4765252,6.0256402,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,50.0,1.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Havelte,52.7712967,6.235975,2,0.0,0.0,0.0,0,50.0,0.5,0.5,100,75.0,1.0,0.5,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,25.0,0.5,0.0,50,magnitude,magnitude
Hazerswoude-Dorp,52.0962664,4.5915103,1,0.0,0.0,0.0,0,100.0,1.0,1.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bad_news,bad_news
Hazerswoude-Rijndijk,52.1269925,4.5922382,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,none,none
Hedel,51.7448817,5.2597063,3,0.0,0.0,0.0,0,66.66666666666667,0.6666666666666666,0.6666666666666666,200,33.333333333333336,0.6666666666666666,0.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,0,33.333333333333336,0.6666666666666666,0.0,100,bad_news,bad_news
Heeg,52.970948,5.6109457,3,0.0,0.0,0.0,0,33.333333333333336,0.3333333333333333,0.3333333333333333,100,16.666666666666668,0.3333333333333333,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.666666666666668,0.3333333333333333,0.0,50,bad_news,bad_news
Heemskerk,52.5104331,4.6723536,68,0.0,0.0,0.0,0,66.17647058823529,0.6617647058823529,0.6617647058823529,4500,40.44117647058823,0.7352941176470589,0.07352941176470588,2750,1.4705882352941178,0.014705882352941176,0.014705882352941176,100,0.0,0.0,0.0,0,30.147058823529413,0.6029411764705882,0.0,2050,bad_news,bad_news
Heemstede,52.3528406,4.6217323,12,8.333333333333334,0.08333333333333333,0.08333333333333333,100,25.0,0.25,0.25,300,12.5,0.25,0.0,150,0.0,0.0,0.0,0,0.0,0.0,0.0,0,12.5,0.25,0.0,150,bad_news,bad_news
